fold,method,violations,performance,violations_pct
1,Unconstrained,195,930.6206665039062,48.75
1,Projected_Gradient,0,967.839599609375,0.0
1,Lagrangian,195,960.3355712890625,48.75
1,Log_Barrier,0,968.0216674804688,0.0
2,Unconstrained,204,896.80078125,51.0
2,Projected_Gradient,0,943.2922973632812,0.0
2,Lagrangian,202,932.8729248046875,50.5
2,Log_Barrier,0,943.685302734375,0.0
3,Unconstrained,219,862.7525024414062,54.75
3,Projected_Gradient,0,915.88330078125,0.0
3,Lagrangian,219,902.8515014648438,54.75
3,Log_Barrier,0,915.9429931640625,0.0
4,Unconstrained,204,922.2569580078125,51.0
4,Projected_Gradient,0,967.8272094726562,0.0
4,Lagrangian,203,956.9281005859375,50.74999999999999
4,Log_Barrier,0,968.0001220703125,0.0
5,Unconstrained,200,919.9266967773438,50.0
5,Projected_Gradient,0,971.6727905273438,0.0
5,Lagrangian,200,959.0910034179688,50.0
5,Log_Barrier,0,971.7257690429688,0.0
